ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
GO:0006338,chromatin remodeling,496,0.3782214150611434,2.1795302733555952,1.2178217719374167e-16,5.094148472014214e-13,3.5252735503451534e-13,2880,"tags=38%, list=23%, signal=30%",SETD1A/RERE/YY1/SRCAP/DDX23/CBX5/SAMD1/SETD2/JADE2/MBD3/CREBBP/BRD3/CTCF/HDGF/CIZ1/PHF19/SUPT6H/BAZ1B/KDM2A/PADI2/HIRA/NCOA1/HCFC1/EP300/ARID1A/SMARCD3/AXIN1/PPM1D/TNRC18/KMT2D/RESF1/SPHK2/ATRX/MECP2/FBL/DPF1/ZBTB7A/SGF29/CHD4/BPTF/MIER1/NIPBL/ING2/WAC/EHMT1/MSL2/DCAF1/CGGBP1/CDKN1C/ARID4A/USP21/DAXX/DEK/CHD1/BRPF1/BCL7B/SETD3/BRD7/HIPK2/PKN1/RNF168/PHF2/SIRT7/PHF10/DOT1L/BMI1/BICRA/SET/KAT6A/TADA2B/MTA1/H2AZ2/KAT6B/KAT8/TRIM28/PRMT2/UIMC1/SIRT1/PER1/SMARCA1/HDAC4/ZNFX1/SSRP1/SPEN/PARP1/KMT2C/KDM6B/RSF1/NSD2/DNMT1/CHD3/CHRAC1/UBN1/KMT2E/ANP32B/BRPF3/SMARCC1/TAF6L/PAXIP1/RPS6KA5/BAZ1A/SIRT2/NAA60/BRD1/IWS1/NAP1L1/BRD4/ZBTB1/RYBP/KMT5A/JARID2/NAP1L4/KDM3A/KAT2B/HP1BP3/PRDM16/SMARCC2/SETD1B/GATAD2B/GATAD2A/MYO1C/ZMPSTE24/ARID2/PBRM1/RING1/KDM3B/PAX6/KDM1B/BAZ2B/CENPN/BRD2/CHD8/JMJD6/SMARCE1/BCL7C/KMT5C/IFI16/REST/KDM5C/USP3/GTF3C4/EYA2/CTR9/HNRNPU/PHF1/PCGF1/CHD7/LBR/LMNA/HDAC1/EPC1/KDM5A/BAP1/JDP2/USP49/NRDE2/CHD2/LRIF1/UBR5/BAZ2A/ACTL6A/HDGFL2/HDAC5/WDR5/TGM2/CECR2/TASOR/NSD1/SMARCD2/KMT2A/H4C8/MBD2/SF3B1/RNF20/ZNF445/MTA2/MCM3AP/GPX1/METTL4/SMARCB1/RSBN1/KLF2/YTHDC1/DPF2/MECOM/LHX2/VPS72/ASH1L/H2AC6,GO_BP,SETD1A/RERE/YY1/SRCAP/DDX23/CBX5/SAMD1/JADE2/MBD3/CREBBP/BRD3/CTCF/HDGF/CIZ1/PHF19/SUPT6H/BAZ1B/KDM2A/PADI2/HIRA/NCOA1/HCFC1/ARID1A/SMARCD3/AXIN1/TNRC18/KMT2D/RESF1/SPHK2/ATRX/MECP2/FBL/ZBTB7A/SGF29/CHD4/BPTF/NIPBL/ING2/WAC/EHMT1/CDKN1C/USP21/DAXX/DEK/BCL7B/SETD3/BRD7/HIPK2/PHF2/SIRT7/PHF10/KAT8/PRMT2/PER1/TAF6L,55
GO:0048514,blood vessel morphogenesis,440,0.3653993561815782,2.0969830814195025,3.153439096626187e-14,6.59541787059367e-11,4.564188166169481e-11,3765,"tags=50%, list=30%, signal=36%",DAB2IP/PAK4/EGLN1/FOXO4/APLN/HIPK1/VEZF1/SASH1/TAFA5/NAGLU/MICALL1/ADIPOR2/DLL4/TMEM201/NINJ1/MECP2/BMPR1A/TGFB1/TEAD2/NOG/PLCG1/HEY2/GAB1/RAP1A/GJC1/FAP/PACSIN2/ABL1/WNK1/UNC5B/PPP1R16B/PIK3CD/SP1/HS6ST1/HIF3A/PRKX/HIPK2/NOTCH1/RELA/PRCP/RBPJ/DLL1/CEMIP2/APOD/ANGPT2/RAMP1/PANK2/SMAD7/PDGFRB/NPRL3/GLUL/GRN/STK4/SIRT1/RHOJ/AKT1/JUP/SHB/JMJD8/SFRP1/VASH1/EPN1/RAPGEF3/ROCK1/BCAM/SMO/MAPK7/STARD13/RIN2/NOTCH4/NOTCH3/AMOT/PAXIP1/FZD8/TJP1/JAM3/ITGB1/BTG1/ITGB8/FYN/PGF/VEGFB/NR2F2/PLXND1/NFATC3/TIE1/RORA/RSPO3/MYO1E/NCL/PIK3R3/TAL1/ZFP36L1/NFATC4/SFRP2/ARID2/FMNL3/MED1/EMP2/SPARC/SGPL1/EPHB4/JMJD6/EFNB2/ITGA5/TSPAN12/PDGFA/THBS2/ANPEP/MYH9/CHD7/ADGRG1/CAV1/WNT7A/MFGE8/MMRN2/CLDN5/ANXA3/PARVA/SP100/BSG/EPHA2/GPR4/RGCC/GNA13/NOTCH2/TNFSF12/NEDD4/PRKD1/QKI/FGFR2/HDAC5/BAX/NAA15/TGM2/FOXF1/FGF1/ETS1/ARHGAP22/AQP1/ELK3/S1PR1/AMOTL2/HES1/NOS3/ITGB2/TGFB2/TGFBR1/APOLD1/FLT4/ITGAX/PLCD3/TNFRSF12A/CD34/C1GALT1/CARD10/GPX1/WASF2/KLF2/C3AR1/LAMA1/FLT1/SEMA6A/EMILIN1/EMC10/CCN2/CCL2/AGO1/MTDH/POFUT1/FKBPL/LRP2/FKBP10/SEMA4A/IL18/SYNJ2BP/SOS1/NR2E1/APOE/RASIP1/YAP1/STAT3/DAG1/EGFL7/PRKCB/GATA2/EHD4/LRP5/RNF213/RHOB/SLC12A2/EGFL8/PTPN6/RHOA/NFE2L2/DCN/EPN2/AGO2/TBX2/HYAL1/ACVR1/FOXC1/PRKD2/SOX4/CSPG4/CCM2/HEG1/SPI1/CHRNA7/SPRED1/LRP1/SPHK1/B4GALT1/LEF1/SRF/ENG/TGFBI/ADM/AGGF1,GO_BP,DAB2IP/PAK4/EGLN1/FOXO4/APLN/HIPK1/VEZF1/SASH1/TAFA5/NAGLU/MICALL1/ADIPOR2/DLL4/NINJ1/MECP2/TGFB1/TEAD2/PLCG1/GAB1/RAP1A/GJC1/PACSIN2/ABL1/WNK1/UNC5B/PPP1R16B/HIPK2/RBPJ/CEMIP2/APOD/PANK2/SMAD7/PDGFRB/GLUL/JMJD8/VASH1/JAM3/ITGB1,38
GO:0061061,muscle structure development,484,0.3530963602071016,2.0413434080113055,1.4576823858542831e-13,2.0324951400094887e-10,1.4065356354734308e-10,2838,"tags=36%, list=23%, signal=29%",CSRP1/YY1/HSPB2/FLII/EGLN1/FOXO4/CTCF/ZNF609/SUPT6H/HIRA/NAGLU/SMTN/EP300/ARID1A/SKI/DLL4/SMARCD3/GPER1/NPNT/RBM38/NINJ1/MECP2/BMPR1A/SORT1/HMG20B/TGFB1/BCL9L/NOG/XKR8/HEY2/SOX8/CHUK/OBSCN/PLEC/MAFF/RBPMS2/PRKG1/DOCK5/ERBB3/SETD3/MSX1/BRD7/LAMB2/NOTCH1/FLOT1/CAPN2/PDLIM7/PHF10/RANBP3L/DOCK1/IGFBP5/MAML1/RBPJ/DLL1/VANGL2/BCL2/SMAD7/PDGFRB/TCF12/POU6F1/KAT8/CTF1/SMAD4/HSD17B1/SIRT1/HDAC4/FZD1/GTF3C5/DMPK/AKT1/NEBL/KDM6B/BMAL1/YBX1/DNMT1/SAP30/ACTN4/SMO/BHLHE41/PPARA/SMARCC1/EHD1/NOTCH4/SEMA4C/BIN1/SPAG9/ZEB1/SIRT2/ITGB1/ID3/PTBP1/BTG1/PLEKHO1/CASP7/LAMA2/TBX3/ZFHX3/NR2F2/NFATC3/NEO1/ZNF689/MYH3/TANC1/RORA/SMARCC2/TMEM119/NUPR1/CTDP1/ZFP36L1/ELN/FHL3/TRIP4/NFATC4/ZMPSTE24/ARID2/MED1/TMEM204/HIVEP3/COL6A1/PBRM1/PRR14/MYORG/COL11A1/SMARCE1/RCAN1/EFNB2/FOXN2/FZD7/REST/EDNRB/MYH9/HNRNPU/CHD7/LMNA/CAV1/MYL6/MEGF10/MYBPC1/NOTCH2/EHD2/CHD2/ACTL6A/PRKD1/HDGFL2/QKI/FGFR2/HDAC5/MYL6B/NFATC1/FOXF1/CRYAB/MRTFA/SMARCD2/LAMA5/S1PR1/LRRC8A/HES1/SOX6/TGFB2/TGFBR1/IFRD1/NACA/SELENON/ATP11A/PIEZO1/GPX1/SMARCB1/LAMC1/CASP3/SRPK3/LAMA1/CNTFR,GO_BP,CSRP1/YY1/HSPB2/FLII/EGLN1/FOXO4/CTCF/SUPT6H/HIRA/NAGLU/SMTN/ARID1A/SKI/DLL4/SMARCD3/GPER1/RBM38/NINJ1/MECP2/SORT1/HMG20B/TGFB1/SOX8/OBSCN/PLEC/MAFF/DOCK5/ERBB3/SETD3/BRD7/LAMB2/PHF10/DOCK1/RBPJ/SMAD7/PDGFRB/TCF12/POU6F1/KAT8/ITGB1,40
GO:0002064,epithelial cell development,142,0.4761768240493345,2.3833629323667362,1.493641532766118e-10,7.80987816445084e-8,5.404623967245822e-8,2344,"tags=38%, list=19%, signal=31%",GPAT4/AMPD2/RAPGEF1/E2F4/VEZF1/EZR/ATRX/BAD/TGFB1/RAP1A/SOX8/PLEC/IQGAP1/ARID4A/PPP1R16B/TBC1D20/LAMB2/NOTCH1/IKBKB/DLL1/GDF11/S1PR3/FOXJ1/AKT1/TJP2/BMAL1/RAPGEF3/ROCK1/SMO/RDX/NOTCH4/TJP1/ADD1/ASXL1/ATF4/SIPA1L3/FAT1/FER/MYO1E/HAPLN2/PAX6/PLOD3/RILPL2/EDNRB/RILPL1/WNT7A/CLDN5/RAB13/ARHGEF26/EPHA2/GPR4/NOTCH2/AKR1B1/AFDN,GO_BP,GPAT4/AMPD2/RAPGEF1/E2F4/VEZF1/EZR/ATRX/BAD/TGFB1/RAP1A/SOX8/PLEC/IQGAP1/PPP1R16B/TBC1D20/LAMB2/IKBKB,17
GO:0032543,mitochondrial translation,127,-0.47828618338601325,-2.395699747469491,2.3037347767288732e-10,1.0707247301174307e-7,7.409673258484679e-8,3401,"tags=56%, list=27%, signal=41%",MRPL20/MRPS12/MRPL18/UQCC2/MRPL54/RPUSD4/DAP3/MRPL52/MRPL35/MRPL1/MRPS26/GARS1/MRPS11/MRPL39/MRPL16/C1QBP/MRPL53/TARS2/MRPL58/MALSU1/MRPS27/FASTKD2/MRPL42/YARS2/MRPS33/MRPL50/MRPL37/MRPL33/MRPL17/MRPS7/RARS2/RPUSD3/MRPL12/MRPL55/WARS2/MRPL40/MRPS30/MRPL11/GFM2/MRPS23/GATB/FASTKD3/LRPPRC/MRPS35/MRPL24/MRPS9/MRPL9/MRPL21/MRPS10/TSFM/MRPS16/MRPS25/HARS2/AARS2/CHCHD1/MRPS28/MRPL32/MRPL15/RMND1/MRPS22/OXA1L/EARS2/MRPL2/MRPL13/GFM1/MRPL3/MRPS18A/COA3/MRPL57/MPV17L2/PTCD3,GO_BP,LRPPRC/MRPS9/MRPL15/MRPS22/EARS2/MRPL2/MRPL13/GFM1/MRPL3/MRPS18A/COA3/MRPL57/MPV17L2/PTCD3,14
GO:0048732,gland development,275,0.3758044240919593,2.0567881489056807,7.851026085324805e-10,2.6285620319296724e-7,1.8190282944264624e-7,2910,"tags=39%, list=23%, signal=31%",GPAT4/ARHGAP35/RAF1/COBL/APLN/USF2/NCOA1/NAGLU/NFIB/INSR/GFER/NFKB1/BMPR1A/ZBTB7B/TGFB1/IRS2/NOG/SOX10/RAP1A/POU3F2/NPC1/ABL1/CDKN1C/MSX1/HIPK2/NOTCH1/RELA/PHF2/IGFBP5/RBPJ/SCRIB/BCL2/ARHGAP5/SMAD4/TGFB3/STK11/AKT1/FA2H/NCOR2/MAPK3/BTBD7/ELK1/DKK3/SFRP1/PNPT1/SMO/CSF1/SOCS2/MPST/SALL1/PPARA/SMARCC1/NOTCH4/RPS6KA1/ASCL1/STAT5B/ASXL1/TBX3/ZBTB1/JARID2/UPF2/DDR1/PLXND1/CAPN1/TSPO/CRKL/PTCH1/ZNF703/PCNA/ZMPSTE24/MED1/SOX2/PAX6/ARF6/PYGO2/PDGFA/ID4/CAV1/STAT5A/PRKCSH/MAP2K2/EPHA2/ARMC5/MAN2A1/NOTCH2/FGFR2/SLC7A5/BAX/THRA/TGM2/FOXF1/NR3C1/GUCD1/INHBB/LAMA5/HES1/CRIP1/TGFB2/TGFBR1/SP3/GPX1/SMARCB1/RPS15/LAMA1/CCDC40/ASH1L/EGFR/CEBPG,GO_BP,GPAT4/ARHGAP35/RAF1/COBL/APLN/USF2/NCOA1/NAGLU/NFIB/INSR/GFER/ZBTB7B/TGFB1/IRS2/SOX10/RAP1A/POU3F2/NPC1/ABL1/CDKN1C/HIPK2/PHF2/RBPJ/TGFB3/STK11/ASCL1,26
GO:0042063,gliogenesis,276,0.3768626242541637,2.0622636273726416,1.0244032924900106e-9,2.6781743578035715e-7,1.8533612199654795e-7,3119,"tags=41%, list=25%, signal=32%",DAB2IP/SUN2/PPP1CC/RAF1/ABCA2/PICK1/ADORA2A/KCNJ10/SLC45A3/CSK/NAGLU/DTX1/NFIB/SKI/CCDC85C/MECP2/TGFB1/NOG/NF2/SOX10/PRX/SOX8/POU3F2/PLEC/ABL1/ERBB3/LAMB2/NOTCH1/RELA/KLF15/ILK/ZEB2/CLU/CXCR4/DLL1/MED12/SCRIB/MYRF/SOX13/GRN/DUSP10/PTPN11/AKT1/CNTN2/FA2H/OLIG1/MAPK3/PARD3/DAAM2/PHGDH/LPAR1/SMO/VCAN/CSF1/TTBK1/BIN1/ASCL1/DLG5/BOK/SIRT2/SYNE2/FYN/LAMA2/TSPO/CRKL/PFKFB3/NFIA/PALS1/TAL1/CERS2/COL6A1/SOX2/PAX6/NFE2L1/GFAP/PLP1/GPM6B/ID4/ADGRG1/HDAC1/CNP/OLIG2/MAP2K2/CDKN2C/QKI/SLC7A5/PRKCH/FOXG1/NR3C1/HES1/EIF2B4/SOX6/TGFB2/TREM2/ARHGEF10/EMX1/GPR37L1/WASF3/NDRG1/E2F1/VPS54/CCL2/NDUFS2/NAB1/LRP2/SOS1/NR2E1/VIM/NR1D1/APCDD1/STAT3/DAG1/AKT2/MYCN,GO_BP,DAB2IP/SUN2/PPP1CC/RAF1/ABCA2/PICK1/ADORA2A/KCNJ10/SLC45A3/CSK/NAGLU/DTX1/NFIB/SKI/CCDC85C/MECP2/TGFB1/NF2/SOX10/PRX/SOX8/POU3F2/PLEC/ABL1/ERBB3/LAMB2/ILK/ZEB2/CLU/CXCR4/MED12/MYRF/CNTN2/OLIG1/LPAR1/ASCL1,36
GO:0140053,mitochondrial gene expression,166,-0.42155983396482377,-2.1966830140135345,1.6462192757205987e-9,3.8256306835218134e-7,2.647428659784589e-7,3401,"tags=51%, list=27%, signal=38%",MRPL20/MRPS12/MRPL18/UQCC2/MRPL54/SLC25A33/RPUSD4/DAP3/MRPL52/MRPL35/MRPL1/MRPS26/TRMT5/TEFM/GARS1/MRPS11/ELAC2/MRPL39/MRPL16/TFB1M/C1QBP/MRPL53/TARS2/TFB2M/TRMT61B/MRPL58/PUS1/MALSU1/MRPS27/FASTKD2/MRPL42/YARS2/MRPS33/MRPL50/MRPL37/MRPL33/MTERF2/MRPL17/MRPS7/RARS2/TRNT1/RPUSD3/MRPL12/MRPL55/WARS2/PRORP/MRPL40/MRPS30/GTPBP3/MRPL11/GFM2/MRPS23/GATB/FASTKD3/LRPPRC/MRPS35/MRPL24/MRPS9/MRPL9/MRPL21/MRPS10/TSFM/MRPS16/MRPS25/HARS2/MTERF3/MTPAP/AARS2/CHCHD1/MRPS28/MRPL32/MRPL15/RMND1/MRPS22/OXA1L/EARS2/MRPL2/MRPL13/GFM1/MRPL3/MRPS18A/COA3/MRPL57/MPV17L2/PTCD3,GO_BP,LRPPRC/MRPS9/MRPL15/MRPS22/EARS2/MRPL2/MRPL13/GFM1/MRPL3/MRPS18A/COA3/MRPL57/MPV17L2/PTCD3,14
GO:0071559,response to transforming growth factor beta,203,0.40480334346088365,2.127518919608873,3.085263683710864e-9,5.61115564737502e-7,3.8830549794987994e-7,2593,"tags=36%, list=21%, signal=29%",FURIN/CREBBP/EP300/SKI/AXIN1/YES1/NPNT/BMPR1A/TGFB1/BCL9L/LTBP3/ZBTB7A/ING2/ITGB5/ABL1/CRK/CDKN1C/ARID4A/SMAD2/HIPK2/ZEB2/PXN/TGFB1I1/GDF11/SMAD7/SMAD4/TGFB3/SIRT1/STK11/PARP1/PPM1A/DKK3/SFRP1/SAP30/ROCK1/LRRC32/MAPK7/HYAL2/PPARA/PAK2/CHST11/ZEB1/ITGB8/FYN/ZFHX3/PMEPA1/SAP30L/COL1A2/CRKL/PRDM16/ZNF703/PALS1/ZFP36L1/FLCN/SOX5/SNX6/FAM89B/HDAC1/CAV1/WNT7A/CLDN5/GLG1/DUSP22/RGCC/WWOX/SMAD5/FGFR2/APPL2/STUB1/NR3C1/SOX6/KMT2A/TGFB2/TGFBR1,GO_BP,FURIN/CREBBP/SKI/AXIN1/YES1/TGFB1/LTBP3/ZBTB7A/ING2/ITGB5/ABL1/CRK/CDKN1C/HIPK2/ZEB2/SMAD7/TGFB3/STK11,18
GO:0040029,epigenetic regulation of gene expression,207,0.40158362746380605,2.113170695439979,4.6422749185775835e-9,7.482866058274926e-7,5.178323706293908e-7,3119,"tags=41%, list=25%, signal=31%",CBX5/SAMD1/MBD3/CTCF/CIZ1/PHF19/PADI2/EP300/ARID1A/AXIN1/PPM1D/TNRC18/KMT2D/RESF1/SPHK2/ATRX/MECP2/SGF29/ING2/EHMT1/MSL2/CGGBP1/CDKN1C/ARID4A/USP21/BRD7/HIPK2/RNF168/PHF2/SIRT7/DOT1L/BMI1/MTA1/H2AZ2/KAT8/TRIM28/SIRT1/SMARCA1/HDAC4/ZNFX1/SPEN/DNMT1/KMT2E/BAZ1A/SIRT2/JARID2/KAT2B/ZMPSTE24/KDM1B/IFI16/CTR9/HNRNPU/PHF1/LBR/LMNA/HDAC1/EPC1/KDM5A/BAP1/NRDE2/LRIF1/UBR5/BAZ2A/HDAC5/WDR5/TASOR/KMT2A/MBD2/ZNF445/MTA2/GPX1/METTL4/SMARCB1/KLF2/YTHDC1/LHX2/VPS72/H2AC6/RNF8/H2AZ1/RIF1/SCMH1/DNMT3A/MYCN,GO_BP,CBX5/SAMD1/MBD3/CTCF/CIZ1/PHF19/PADI2/ARID1A/AXIN1/TNRC18/KMT2D/RESF1/SPHK2/ATRX/MECP2/SGF29/ING2/EHMT1/CDKN1C/USP21/BRD7/HIPK2/PHF2/SIRT7/KAT8,25
GO:0001708,cell fate specification,55,0.6052714657363447,2.5298779028147185,5.59645920118633e-9,8.6703662365046e-7,6.000102457412244e-7,2147,"tags=53%, list=17%, signal=44%",MBD3/NFIB/BMPR1A/CHD4/POU3F2/TBX6/NOTCH1/RBPJ/DLL1/MTA1/SMAD4/CHD3/SUFU/SMO/FKBP8/ASCL1/ITGB1/TBX3/PTCH1/NFIA/GATAD2B/GATAD2A/SFRP2/SOX2/PAX6/FZD7/EYA2/HDAC1/OLIG2,GO_BP,MBD3/NFIB/CHD4/POU3F2/RBPJ/ASCL1/ITGB1,7
GO:0045165,cell fate commitment,163,0.4252209558005554,2.1812906903417515,7.633099645430809e-9,1.1403305648870383e-6,7.891362415388994e-7,3161,"tags=47%, list=25%, signal=36%",MBD3/EP300/NFIB/PAF1/MITF/DLL4/BMPR1A/CHD4/HEY2/SOX8/POU3F2/SMAD2/TBX6/CYLD/NOTCH1/TGFB1I1/RBPJ/DLL1/MTA1/BCL2/SOX13/SMAD4/OLIG1/KDM6B/CHD3/SUFU/SFRP1/SMO/FKBP8/NOTCH4/NOTCH3/ASCL1/ITGB1/TBX3/BRD4/NR2F2/ARHGEF2/TCF3/PTCH1/NFIA/GATAD2B/TAL1/GATAD2A/SFRP2/SOX2/PAX6/NFE2L1/SOX5/BRD2/FZD7/EYA2/CTR9/HDAC1/WNT7A/STAT5A/OLIG2/NOTCH2/SMAD5/FGFR2/FOXG1/GAS1/CDC73/HES1/SOX6/TGFB2/TGFBR1/IFRD1/ZNF521/MTA2/CASP3/TNXB/DSCAML1/NR2E1/STAT3/PRDM11/LATS1/GATA2,GO_BP,MBD3/NFIB/PAF1/DLL4/CHD4/SOX8/POU3F2/RBPJ/OLIG1/ASCL1/ITGB1,11
GO:0006520,amino acid metabolic process,219,-0.38098658104623595,-2.082880403834579,9.096134474268675e-9,1.268304350195529e-6,8.77697186113644e-7,3260,"tags=44%, list=26%, signal=33%",ADSS2/SEPHS2/ACAT1/RIMKLA/BPHL/CDO1/NOS2/KYAT1/GARS1/ABAT/HMGCLL1/GLDC/PYCR1/ASL/HMGCL/EPRS1/NIT2/GOT1/PARS2/GCLM/PFAS/TARS2/SDS/AZIN1/FAH/GCSH/FTCD/DALRD3/YARS1/OAT/SLC16A2/BCAT1/WARS1/NARS1/PCBD1/YARS2/MCCC1/CARNMT1/FARS2/NMNAT2/ETFA/FARSA/HYKK/PTS/ENOPH1/DLST/AUH/RARS2/SARS1/DBT/WARS2/DLD/ENOSF1/SARDH/ECHS1/GAD1/AZIN2/ADHFE1/GLS2/GATB/AMT/GAD2/KARS1/ASS1/BCKDHB/FH/CRYM/RIDA/GSTZ1/CTH/ASNS/ALDH18A1/PYCR2/ACAD8/IVD/FARSB/CSAD/HARS2/RARS1/AARS2/IARS1/SDSL/LARS1/BCKDK/MTHFD1/ALDH1A1/EARS2/MTR/SMS/MCCC2/ACADSB/GSS/ODC1/PCCB/PYCR3/AADAT/ALDH5A1,GO_BP,ECHS1/KARS1/IVD/FARSB/CSAD/RARS1/SDSL/LARS1/BCKDK/MTHFD1/EARS2/SMS/MCCC2/GSS/ODC1/PCCB/PYCR3/ALDH5A1,18
GO:0007159,leukocyte cell-cell adhesion,254,0.36904868298023363,2.005957280322831,2.6445879365369464e-8,3.072864260703902e-6,2.126496147800176e-6,2548,"tags=33%, list=21%, signal=27%",FCHO1/ITPKB/ADORA2A/CSK/SLC4A2/EP300/DTX1/ARID1A/EZR/SOX12/SMARCD3/GOLPH3/YES1/BAD/ZBTB7B/TGFB1/ZBTB16/ABL1/WNK1/NCK2/ABL2/PIK3CD/SOCS6/SIRPA/IRAK1/PELI1/BRD7/CYLD/RELA/PHF10/BMI1/TNIP1/SCRIB/SMAD7/FOXJ1/SOX13/DUSP10/PTPN11/CCDC88B/AKT1/SHB/NCK1/MAPK3/ROCK1/LRRC32/PPARA/SMARCC1/DLG5/STAT5B/ITGB1/SART1/DLG1/FYN/BRD4/ZBTB1/ARG2/SMARCC2/STK10/RPS3/ARID2/SELPLG/ICOSLG/PBRM1/BRD2/SMARCE1/EFNB2/ITGA5/SLC7A1/TYK2/CD37/GPAM/CBFB/CAV1/STAT5A/SEMA4D/DUSP22/CD55/ACTL6A/ETS1/SMARCD2/FOXO3/PNP/HES1/ITGB2,GO_BP,FCHO1/ITPKB/ADORA2A/CSK/SLC4A2/DTX1/ARID1A/EZR/SOX12/SMARCD3/GOLPH3/YES1/BAD/ZBTB7B/TGFB1/ZBTB16/ABL1/WNK1/NCK2/SIRPA/BRD7/PHF10/TNIP1/SMAD7/ITGB1,25
